date_time,mean_z
2011-04-30,-0.297017566648165
2011-05-31,-0.3315448110673902
2011-06-30,-0.17485523444237516
2011-07-31,-0.3500930968843875
2011-08-31,-0.34857026226703947
2011-09-30,-0.2865253106911102
2011-10-31,-0.3098361338606603
2011-11-30,-0.45187591622183937
2011-12-31,-0.40583625573686766
2012-01-31,-1.0167306984109334
2012-02-29,-0.5003734182406039
2012-03-31,-0.2594360183737425
2012-04-30,-0.34760538779672817
2012-05-31,-0.2983734362632436
2012-06-30,-0.40585187094647224
2012-07-31,-0.5986116929756438
2012-08-31,0.5998443630459991
2012-09-30,-0.41463026306718503
2012-10-31,-0.4495931959768132
2012-11-30,-0.46653783177158537
2012-12-31,-0.3682814560099328
2013-01-31,-0.33613346470799177
2013-02-28,-0.5680277666670539
