Doc_ID,finbert_pos,finbert_neu,finbert_neg,finbert_tone
389,0.0483113465209802,0.9139209191004435,0.03776773686210314,0.01054360965887706
396,0.034122965609033905,0.8777097741762797,0.08816725599269072,-0.054044290383656816
400,0.28769687314828235,0.5405981838703156,0.17170490697026253,0.11599196617801982
411,0.03457685932517052,0.9246744215488434,0.0407486860640347,-0.006171826738864183
413,0.05782831460237503,0.9061118438839912,0.03605984174646437,0.02176847285591066
417,0.07234112126752734,0.7711585611104965,0.15650031436234713,-0.08415919309481978
419,0.06084334167341391,0.9058865507443746,0.033270154148340225,0.027573187525073685
421,0.046919883042573926,0.9082239985466003,0.04485613480210304,0.0020637482404708835
423,0.02667381539940834,0.9197393298149109,0.05358688458800316,-0.02691306918859482
425,0.0722624696791172,0.8004724681377411,0.12726507941260934,-0.055002609733492136
431,0.09200370162725449,0.8635002255439759,0.044496065750718114,0.04750763587653638
443,0.16215944290161133,0.8086968541145325,0.02914370447397232,0.133015738427639
444,0.06479162722826004,0.9054533243179321,0.029755076703925926,0.03503655052433412
446,0.09610751333336036,0.8696329394976298,0.034259533820052944,0.061847979513307415
454,0.08039099872112274,0.8730937838554382,0.046515227667987345,0.03387577105313539
455,0.045989387979110084,0.8940421541531881,0.0599684864282608,-0.013979098449150719
456,0.04021491575986147,0.906477153301239,0.05330790672451258,-0.013092990964651108
458,0.038942181318998334,0.9318804383277893,0.02917740009725094,0.009764781221747395
462,0.04278440261259675,0.9054833054542542,0.05173229239881039,-0.008947889786213636
473,0.02737235836684704,0.9338132441043854,0.038814383558928967,-0.011442025192081928
482,0.06736408453434706,0.8587889671325684,0.07384695531800389,-0.0064828707836568356
487,0.051286554584900536,0.9160475333531698,0.032665885984897614,0.018620668600002922
490,0.15996141731739044,0.7880693554878235,0.05196923706680536,0.10799218025058507
492,0.12022577822208405,0.760309636592865,0.1194645980373025,0.0007611801847815514
500,0.11922350525856018,0.7936852839257982,0.08709120067457359,0.032132304583986596
513,0.03891002153977752,0.9257843047380447,0.03530567837879062,0.0036043431609869003
518,0.0335630780706803,0.9325370987256368,0.033899866665403046,-0.0003367885947227478
525,0.04408967246611913,0.8951031764348348,0.06080713619788488,-0.016717463731765747
533,0.08499826490879059,0.531563845773538,0.38343791166941327,-0.2984396467606227
544,0.031581658869981766,0.9342487653096517,0.03416959072152773,-0.0025879318515459673
552,0.03148509903500477,0.8797250886758169,0.08878983743488789,-0.057304738399883114
556,0.0296402412156264,0.9266607562700907,0.043699007481336594,-0.014058766265710194
561,0.056276523818572365,0.9051436384518942,0.03857984828452269,0.017696675534049675
565,0.07964961137622595,0.8933499753475189,0.0270003960467875,0.05264921532943845
568,0.06983883306384087,0.8650416284799576,0.06511954357847571,0.004719289485365152
571,0.1498041469603777,0.8274616897106171,0.022734141908586025,0.12707000505179167
